Date : 2023-04-28 17:15:07
Directory : /Users/amilsilahic/projects/nextjs-canvas-classroom
Total : 67 files,  16933 codes, 65 comments, 413 blanks, all 17411 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |     14,746 |          0 |          2 |     14,748 |
| JavaScript         |         57 |      2,108 |         17 |        361 |      2,486 |
| Markdown           |          2 |         38 |         44 |         42 |        124 |
| CSS                |          1 |         30 |          0 |          7 |         37 |
| JSON with Comments |          2 |          8 |          4 |          1 |         13 |
| XML                |          3 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         67 |     16,933 |         65 |        413 |     17,411 |
| . (Files)                                                                                                      |         10 |     14,833 |         57 |         54 |     14,944 |
| __tests__                                                                                                      |          5 |        104 |          0 |         43 |        147 |
| components                                                                                                     |         28 |      1,381 |          4 |        173 |      1,558 |
| components/AccountDetails                                                                                      |          1 |         31 |          0 |          5 |         36 |
| components/CourseDetails                                                                                       |          5 |        411 |          3 |         55 |        469 |
| components/CourseDetails (Files)                                                                               |          4 |        352 |          2 |         44 |        398 |
| components/CourseDetails/ModuleModal                                                                           |          1 |         59 |          1 |         11 |         71 |
| components/CoursesPage                                                                                         |          6 |        255 |          0 |         32 |        287 |
| components/CoursesPage (Files)                                                                                 |          4 |        126 |          0 |         17 |        143 |
| components/CoursesPage/CoursesModal                                                                            |          2 |        129 |          0 |         15 |        144 |
| components/Dashboard                                                                                           |          3 |        125 |          1 |         15 |        141 |
| components/Error                                                                                               |          1 |         26 |          0 |          5 |         31 |
| components/LandingPage                                                                                         |          6 |        173 |          0 |         22 |        195 |
| components/Layout                                                                                              |          1 |         13 |          0 |          3 |         16 |
